Station,MonthlyTotal
Ambagan(Ctg),0
Ambagan(Ctg),1
Ambagan(Ctg),5
Ambagan(Ctg),58
Ambagan(Ctg),469
Ambagan(Ctg),504
Ambagan(Ctg),391
Ambagan(Ctg),243
Ambagan(Ctg),305
Ambagan(Ctg),403
Ambagan(Ctg),0
Ambagan(Ctg),0
Barisal,0
Barisal,6
Barisal,5
Barisal,64
Barisal,701
Barisal,277
Barisal,377
Barisal,398
Barisal,312
Barisal,181
Barisal,0
Barisal,0
Bhola,0
Bhola,9
Bhola,0
Bhola,28
Bhola,655
Bhola,270
Bhola,327
Bhola,477
Bhola,228
Bhola,200
Bhola,0
Bhola,0
Bogra,0
Bogra,22
Bogra,3
Bogra,0
Bogra,152
Bogra,204
Bogra,283
Bogra,256
Bogra,99
Bogra,200
Bogra,0
Bogra,0
Chandpur,0
Chandpur,3
Chandpur,15
Chandpur,135
Chandpur,670
Chandpur,497
Chandpur,225
Chandpur,331
Chandpur,502
Chandpur,167
Chandpur,0
Chandpur,0
Chittagong,0
Chittagong,0
Chittagong,3
Chittagong,58
Chittagong,773
Chittagong,513
Chittagong,405
Chittagong,267
Chittagong,173
Chittagong,369
Chittagong,0
Chittagong,0
chuadanga,3
chuadanga,12
chuadanga,1
chuadanga,32
chuadanga,260
chuadanga,156
chuadanga,169
chuadanga,202
chuadanga,122
chuadanga,208
chuadanga,0
chuadanga,0
Comilla,0
Comilla,3
Comilla,30
Comilla,28
Comilla,467
Comilla,214
Comilla,276
Comilla,243
Comilla,255
Comilla,124
Comilla,0
Comilla,3
Cox's Bazar,0
Cox's Bazar,0
Cox's Bazar,0
Cox's Bazar,54
Cox's Bazar,700
Cox's Bazar,876
Cox's Bazar,772
Cox's Bazar,1000
Cox's Bazar,237
Cox's Bazar,420
Cox's Bazar,0
Cox's Bazar,0
Dhaka,0
Dhaka,8
Dhaka,26
Dhaka,32
Dhaka,378
Dhaka,325
Dhaka,302
Dhaka,212
Dhaka,172
Dhaka,131
Dhaka,0
Dhaka,4
Dinajpur,0
Dinajpur,10
Dinajpur,0
Dinajpur,99
Dinajpur,133
Dinajpur,370
Dinajpur,255
Dinajpur,469
Dinajpur,182
Dinajpur,309
Dinajpur,0
Dinajpur,0
Faridpur,0
Faridpur,12
Faridpur,12
Faridpur,55
Faridpur,380
Faridpur,291
Faridpur,198
Faridpur,264
Faridpur,225
Faridpur,202
Faridpur,0
Faridpur,0
Feni,0
Feni,3
Feni,26
Feni,17
Feni,533
Feni,493
Feni,382
Feni,468
Feni,373
Feni,193
Feni,0
Feni,0
Hatiya,0
Hatiya,4
Hatiya,0
Hatiya,50
Hatiya,842
Hatiya,592
Hatiya,544
Hatiya,677
Hatiya,435
Hatiya,292
Hatiya,0
Hatiya,0
Ishurdi,1
Ishurdi,14
Ishurdi,0
Ishurdi,69
Ishurdi,182
Ishurdi,264
Ishurdi,130
Ishurdi,218
Ishurdi,121
Ishurdi,130
Ishurdi,0
Ishurdi,0
Jessore,6
Jessore,15
Jessore,8
Jessore,63
Jessore,278
Jessore,203
Jessore,249
Jessore,309
Jessore,322
Jessore,223
Jessore,0
Jessore,0
Khepupara,0
Khepupara,1
Khepupara,0
Khepupara,0
Khepupara,727
Khepupara,395
Khepupara,640
Khepupara,403
Khepupara,536
Khepupara,418
Khepupara,0
Khepupara,0
Khulna,1
Khulna,7
Khulna,19
Khulna,62
Khulna,430
Khulna,212
Khulna,313
Khulna,482
Khulna,278
Khulna,260
Khulna,0
Khulna,0
Kutubdia,0
Kutubdia,1
Kutubdia,0
Kutubdia,85
Kutubdia,1088
Kutubdia,1058
Kutubdia,818
Kutubdia,642
Kutubdia,296
Kutubdia,215
Kutubdia,0
Kutubdia,0
M.court,0
M.court,8
M.court,4
M.court,65
M.court,671
M.court,658
M.court,482
M.court,583
M.court,355
M.court,218
M.court,0
M.court,0
Madaripur,0
Madaripur,6
Madaripur,15
Madaripur,29
Madaripur,751
Madaripur,199
Madaripur,309
Madaripur,274
Madaripur,365
Madaripur,200
Madaripur,4
Madaripur,0
Mongla,0
Mongla,5
Mongla,2
Mongla,28
Mongla,359
Mongla,244
Mongla,401
Mongla,287
Mongla,219
Mongla,286
Mongla,0
Mongla,0
Mymensingh,0
Mymensingh,18
Mymensingh,21
Mymensingh,69
Mymensingh,308
Mymensingh,267
Mymensingh,318
Mymensingh,343
Mymensingh,132
Mymensingh,263
Mymensingh,0
Mymensingh,0
Patuakhali,1
Patuakhali,4
Patuakhali,0
Patuakhali,27
Patuakhali,637
Patuakhali,333
Patuakhali,552
Patuakhali,411
Patuakhali,412
Patuakhali,281
Patuakhali,0
Patuakhali,0
Rajshahi,0
Rajshahi,22
Rajshahi,12
Rajshahi,51
Rajshahi,188
Rajshahi,178
Rajshahi,101
Rajshahi,254
Rajshahi,238
Rajshahi,204
Rajshahi,0
Rajshahi,0
Rangamati,0
Rangamati,2
Rangamati,2
Rangamati,83
Rangamati,435
Rangamati,280
Rangamati,274
Rangamati,200
Rangamati,476
Rangamati,198
Rangamati,0
Rangamati,0
Rangpur,0
Rangpur,14
Rangpur,4
Rangpur,115
Rangpur,383
Rangpur,327
Rangpur,296
Rangpur,268
Rangpur,229
Rangpur,280
Rangpur,0
Rangpur,0
Sandwip,0
Sandwip,0
Sandwip,0
Sandwip,52
Sandwip,570
Sandwip,560
Sandwip,441
Sandwip,746
Sandwip,451
Sandwip,241
Sandwip,0
Sandwip,0
Satkhira,5
Satkhira,12
Satkhira,37
Satkhira,29
Satkhira,310
Satkhira,245
Satkhira,266
Satkhira,215
Satkhira,296
Satkhira,247
Satkhira,0
Satkhira,0
Sitakunda,0
Sitakunda,0
Sitakunda,13
Sitakunda,57
Sitakunda,470
Sitakunda,569
Sitakunda,333
Sitakunda,390
Sitakunda,496
Sitakunda,269
Sitakunda,1
Sitakunda,0
Srimangal,0
Srimangal,9
Srimangal,31
Srimangal,104
Srimangal,681
Srimangal,301
Srimangal,294
Srimangal,420
Srimangal,241
Srimangal,159
Srimangal,5
Srimangal,5
sydpur,0
sydpur,14
sydpur,3
sydpur,58
sydpur,206
sydpur,310
sydpur,245
sydpur,388
sydpur,161
sydpur,337
sydpur,0
sydpur,0
Sylhet,0
Sylhet,7
Sylhet,16
Sylhet,229
Sylhet,959
Sylhet,520
Sylhet,567
Sylhet,520
Sylhet,347
Sylhet,451
Sylhet,0
Sylhet,0
Tangail,0
Tangail,13
Tangail,3
Tangail,60
Tangail,293
Tangail,213
Tangail,106
Tangail,238
Tangail,126
Tangail,128
Tangail,0
Tangail,2
Teknaf,0
Teknaf,0
Teknaf,0
Teknaf,34
Teknaf,753
Teknaf,821
Teknaf,1127
Teknaf,851
Teknaf,329
Teknaf,271
Teknaf,0
Teknaf,0
